time,ID,x,y
0.2,0,1.60,1.17
0.2,1,-1.60,-1.17
0.8,0,1.48,1.07
0.8,1,-1.49,-1.07
1.3,0,1.26,0.84
1.3,1,-1.28,-0.83
1.9,0,1.03,0.56
1.9,1,-1.05,-0.53
2.4,0,0.82,0.26
2.4,1,-0.85,-0.21
3.0,0,0.63,-0.05
3.0,1,-0.68,0.13
3.5,0,0.38,-0.32
3.5,1,-0.43,0.41
4.1,0,0.08,-0.54
4.1,1,-0.14,0.63
4.6,0,-0.25,-0.72
4.6,1,0.18,0.83
5.2,0,-0.60,-0.84
5.2,1,0.54,0.96
5.7,0,-0.95,-0.96
5.7,1,0.89,1.06
0.3,0,1.15,1.59
0.3,1,-1.15,-1.59
0.9,0,1.04,1.44
0.9,1,-1.03,-1.44
1.4,0,0.84,1.17
1.4,1,-0.82,-1.18
2.0,0,0.64,0.85
2.0,1,-0.63,-0.87
2.5,0,0.49,0.51
2.5,1,-0.51,-0.52
3.1,0,0.41,0.14
3.1,1,-0.44,-0.16
3.6,0,0.31,-0.22
3.6,1,-0.32,0.19
4.2,0,0.15,-0.56
4.2,1,-0.14,0.51
4.7,0,-0.05,-0.87
4.7,1,0.08,0.81
5.3,0,-0.31,-1.15
5.3,1,0.35,1.06
5.8,0,-0.60,-1.38
5.8,1,0.64,1.28
0.4,0,0.60,1.85
0.4,1,-0.60,-1.85
1.0,0,0.52,1.65
1.0,1,-0.53,-1.65
1.5,0,0.38,1.33
1.5,1,-0.40,-1.32
2.1,0,0.26,0.97
2.1,1,-0.31,-0.96
2.6,0,0.20,0.61
2.6,1,-0.28,-0.59
3.2,0,0.22,0.24
3.2,1,-0.29,-0.23
3.7,0,0.23,-0.12
3.7,1,-0.26,0.15
4.3,0,0.17,-0.48
4.3,1,-0.17,0.52
4.8,0,0.06,-0.83
4.8,1,0.00,0.85
5.4,0,-0.12,-1.15
5.4,1,0.20,1.18
5.9,0,-0.33,-1.45
5.9,1,0.40,1.47
0.5,0,0.00,1.91
0.5,1,-0.00,-1.90
1.1,0,0.01,1.65
1.1,1,-0.01,-1.64
1.6,0,0.06,1.29
1.6,1,-0.06,-1.27
2.2,0,0.12,0.93
2.2,1,-0.12,-0.91
2.7,0,0.26,0.58
2.7,1,-0.25,-0.56
3.3,0,0.40,0.24
3.3,1,-0.37,-0.20
3.8,0,0.47,-0.12
3.8,1,-0.41,0.16
4.4,0,0.46,-0.50
4.4,1,-0.40,0.53
4.9,0,0.38,-0.87
4.9,1,-0.33,0.88
5.5,0,0.28,-1.22
5.5,1,-0.23,1.23
0.1,0,-0.62,1.90
0.1,1,0.62,-1.90
0.7,0,-0.57,1.78
0.7,1,0.57,-1.78
1.2,0,-0.43,1.55
1.2,1,0.43,-1.54
1.8,0,-0.21,1.26
1.8,1,0.18,-1.25
2.3,0,0.02,0.97
2.3,1,-0.07,-0.98
2.9,0,0.25,0.69
2.9,1,-0.31,-0.70
3.4,0,0.44,0.37
3.4,1,-0.49,-0.38
4.0,0,0.56,0.02
4.0,1,-0.60,-0.03
4.5,0,0.62,-0.36
4.5,1,-0.66,0.35
0.6,0,-1.12,1.54
0.6,1,1.12,-1.54
1.1,0,-0.95,1.34
1.1,1,0.95,-1.34
1.7,0,-0.68,1.09
1.7,1,0.68,-1.09
2.2,0,-0.37,0.89
2.2,1,0.37,-0.89
2.8,0,-0.05,0.69
2.8,1,0.04,-0.72
3.3,0,0.23,0.44
3.3,1,-0.25,-0.49
3.9,0,0.45,0.14
3.9,1,-0.50,-0.21
4.4,0,0.68,-0.17
4.4,1,-0.73,0.09
5.0,0,0.87,-0.49
5.0,1,-0.93,0.40
5.5,0,1.04,-0.82
5.5,1,-1.09,0.74
6.1,0,1.17,-1.17
6.1,1,-1.22,1.09
0.5,0,-1.54,1.12
0.5,1,1.54,-1.12
1.1,0,-1.32,0.99
1.1,1,1.33,-0.98
1.6,0,-1.00,0.84
1.6,1,1.02,-0.79
2.2,0,-0.63,0.72
2.2,1,0.67,-0.66
2.7,0,-0.27,0.66
2.7,1,0.31,-0.60
3.3,0,0.08,0.53
3.3,1,-0.05,-0.48
3.8,0,0.39,0.33
3.8,1,-0.37,-0.29
4.4,0,0.68,0.10
4.4,1,-0.66,-0.07
4.9,0,0.96,-0.15
4.9,1,-0.95,0.15
5.5,0,1.22,-0.41
5.5,1,-1.22,0.41
0.1,0,-1.90,0.62
0.1,1,1.90,-0.62
0.7,0,-1.79,0.58
0.7,1,1.78,-0.58
1.2,0,-1.53,0.47
1.2,1,1.52,-0.47
1.8,0,-1.18,0.36
1.8,1,1.17,-0.36
2.3,0,-0.80,0.32
2.3,1,0.81,-0.33
2.9,0,-0.44,0.35
2.9,1,0.44,-0.35
3.4,0,-0.07,0.38
3.4,1,0.08,-0.34
3.9,0,0.29,0.33
3.9,1,-0.28,-0.25
4.5,0,0.65,0.22
4.5,1,-0.61,-0.10
5.0,0,0.99,0.06
5.0,1,-0.95,0.06
5.6,0,1.30,-0.13
5.6,1,-1.27,0.24
0.2,0,-1.98,-0.00
0.2,1,1.98,0.00
0.8,0,-1.82,-0.00
0.8,1,1.82,-0.00
1.3,0,-1.50,-0.00
1.3,1,1.50,-0.01
1.9,0,-1.14,0.03
1.9,1,1.13,-0.08
2.4,0,-0.78,0.13
2.4,1,0.78,-0.22
3.0,0,-0.45,0.28
3.0,1,0.46,-0.39
3.5,0,-0.09,0.37
3.5,1,0.09,-0.48
4.1,0,0.27,0.40
4.1,1,-0.27,-0.51
4.6,0,0.64,0.36
4.6,1,-0.64,-0.47
5.2,0,1.00,0.27
5.2,1,-0.98,-0.38
5.7,0,1.35,0.15
5.7,1,-1.32,-0.26
0.3,0,-1.87,-0.61
0.3,1,1.87,0.61
0.9,0,-1.69,-0.54
0.9,1,1.70,0.53
1.4,0,-1.41,-0.36
1.4,1,1.43,0.34
2.0,0,-1.12,-0.13
2.0,1,1.15,0.09
2.5,0,-0.85,0.12
2.5,1,0.89,-0.17
3.1,0,-0.56,0.36
3.1,1,0.62,-0.42
3.6,0,-0.23,0.52
3.6,1,0.31,-0.60
4.2,0,0.12,0.63
4.2,1,-0.04,-0.73
0.4,0,-1.57,-1.14
